county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-06,State Assembly,6,DEMOCRATIC,Migliore M,87,3,90
New Castle,01-06,State Assembly,6,REPUBLICAN,Kovach T,113,6,119
New Castle,02-06,State Assembly,6,DEMOCRATIC,Migliore M,187,18,205
New Castle,02-06,State Assembly,6,REPUBLICAN,Kovach T,239,6,245
New Castle,03-06,State Assembly,6,DEMOCRATIC,Migliore M,85,6,91
New Castle,03-06,State Assembly,6,REPUBLICAN,Kovach T,55,1,56
New Castle,04-06,State Assembly,6,DEMOCRATIC,Migliore M,165,9,174
New Castle,04-06,State Assembly,6,REPUBLICAN,Kovach T,149,3,152
New Castle,05-06,State Assembly,6,DEMOCRATIC,Migliore M,75,9,84
New Castle,05-06,State Assembly,6,REPUBLICAN,Kovach T,37,1,38
New Castle,06-06,State Assembly,6,DEMOCRATIC,Migliore M,134,11,145
New Castle,06-06,State Assembly,6,REPUBLICAN,Kovach T,177,9,186
New Castle,07-06,State Assembly,6,DEMOCRATIC,Migliore M,172,12,184
New Castle,07-06,State Assembly,6,REPUBLICAN,Kovach T,263,7,270
New Castle,08-06,State Assembly,6,DEMOCRATIC,Migliore M,227,13,240
New Castle,08-06,State Assembly,6,REPUBLICAN,Kovach T,228,7,235
New Castle,09-06,State Assembly,6,DEMOCRATIC,Migliore M,28,2,30
New Castle,09-06,State Assembly,6,REPUBLICAN,Kovach T,68,5,73
New Castle,10-06,State Assembly,6,DEMOCRATIC,Migliore M,137,3,140
New Castle,10-06,State Assembly,6,REPUBLICAN,Kovach T,112,1,113
New Castle,11-06,State Assembly,6,DEMOCRATIC,Migliore M,49,1,50
New Castle,11-06,State Assembly,6,REPUBLICAN,Kovach T,39,0,39
New Castle,12-06,State Assembly,6,DEMOCRATIC,Migliore M,31,3,34
New Castle,12-06,State Assembly,6,REPUBLICAN,Kovach T,14,0,14
New Castle,Total,State Assembly,6,DEMOCRATIC,Migliore M,1377,90,1467
New Castle,Total,State Assembly,6,REPUBLICAN,Kovach T,1494,46,1540
